service_month,claim_volume,unique_members,total_billed_amount,total_allowed_amount,total_paid_amount,denial_rejection_rate,average_claim_value,cost_spike_count
2025-01,601,389,1497616.21,1121492.09,829892.02,9.15,2491.87,0
2025-02,588,385,1609254.93,1210461.05,934048.37,10.2,2736.83,2
2025-03,764,492,2066651.01,1553849.09,1162935.04,12.17,2705.04,2
2025-04,835,548,2272187.2,1697776.78,1286127.25,11.98,2721.18,1
2025-05,948,604,2902590.62,2166572.31,1473029.88,12.34,3061.8,2
2025-06,955,625,2251992.97,1675014.8,1250842.45,11.94,2358.11,0
2025-07,1096,697,2873364.94,2124101.13,1622222.66,11.86,2621.68,2
2025-08,1273,776,3163148.9,2376517.23,1868220.34,11.55,2484.8,2
2025-09,1309,797,3212618.38,2407242.26,1711891.76,13.06,2454.25,0
2025-10,1322,773,3677553.45,2727838.48,2127419.71,11.12,2781.81,2
2025-11,1172,707,3126125.81,2325432.96,1664818.81,12.8,2667.34,1
2025-12,1115,668,3361589.54,2540558.49,2038907.15,11.39,3014.88,4
