reporting_month,active_members,new_enrollments,terminations,utilizing_members,claim_volume,claims_per_1000_members,paid_pmpm
2025-01,709,96,0,389,601,847.67,1170.51
2025-02,806,97,0,385,588,729.53,1158.87
2025-03,906,100,2,492,764,843.27,1283.59
2025-04,995,91,15,548,835,839.2,1292.59
2025-05,1091,111,26,604,948,868.93,1350.16
2025-06,1192,127,35,625,955,801.17,1049.36
2025-07,1261,104,63,697,1096,869.15,1286.46
2025-08,1294,96,37,776,1273,983.77,1443.76
2025-09,1322,65,43,797,1309,990.17,1294.93
2025-10,1279,0,86,773,1322,1033.62,1663.35
2025-11,1193,0,64,707,1172,982.4,1395.49
2025-12,1129,0,108,668,1115,987.6,1805.94
