provider_id,provider_name,provider_specialty,region,contract_id,contract_type,claim_volume,total_billed_amount,total_allowed_amount,total_paid_amount,denial_rejection_rate,actual_discount_rate,contract_target_discount_rate,discount_variance_points,average_paid_per_claim,cost_zscore,cost_outlier_flag
PRV0001,Synthetic Provider Organization 001,Dermatology,WEST,CTR018,VALUE_BASED,79,130317.62,98541.71,82065.25,8.86,24.38,23.6,0.78,1038.8,-0.83,N
PRV0002,Synthetic Provider Organization 002,Cardiology,WEST,CTR017,VALUE_BASED,64,187188.83,144030.91,99180.98,14.06,23.06,23.12,-0.06,1549.7,0.08,N
PRV0003,Synthetic Provider Organization 003,Dermatology,NORTH,CTR002,FFS,66,182835.5,143064.17,116464.2,9.09,21.75,22.72,-0.97,1764.61,0.46,N
PRV0004,Synthetic Provider Organization 004,Radiology,SOUTH,CTR005,SHARED_SAVINGS,79,197730.33,157527.29,105297.27,10.13,20.33,19.19,1.14,1332.88,-0.31,N
PRV0005,Synthetic Provider Organization 005,Behavioral Health,WEST,CTR003,VALUE_BASED,58,209312.44,175263.59,125934.49,10.34,16.27,15.78,0.49,2171.28,1.19,N
PRV0006,Synthetic Provider Organization 006,Radiology,WEST,CTR008,SHARED_SAVINGS,88,275247.16,202203.41,155450.52,11.36,26.54,27.26,-0.72,1766.48,0.47,N
PRV0007,Synthetic Provider Organization 007,Pediatrics,WEST,CTR019,FFS,84,259119.3,220525.77,169765.57,4.76,14.89,15.06,-0.17,2021.02,0.92,N
PRV0008,Synthetic Provider Organization 008,Emergency Medicine,NORTH,CTR018,VALUE_BASED,76,202719.41,156023.94,98315.74,7.89,23.03,23.6,-0.57,1293.63,-0.38,N
PRV0009,Synthetic Provider Organization 009,Emergency Medicine,NORTH,CTR002,FFS,83,246781.17,191605.08,131357.43,12.05,22.36,22.72,-0.36,1582.62,0.14,N
PRV0010,Synthetic Provider Organization 010,Pediatrics,SOUTH,CTR020,SHARED_SAVINGS,92,175319.14,139965.58,110104.12,11.96,20.17,19.93,0.24,1196.78,-0.55,N
PRV0011,Synthetic Provider Organization 011,Pediatrics,NORTH,CTR023,VALUE_BASED,76,212603.71,172241.73,143308.39,9.21,18.98,16.82,2.16,1885.64,0.68,N
PRV0012,Synthetic Provider Organization 012,Dermatology,NORTH,CTR011,FFS,73,266025.22,179276.18,147813.29,12.33,32.61,31.29,1.32,2024.84,0.93,N
PRV0013,Synthetic Provider Organization 013,Behavioral Health,SOUTH,CTR016,SHARED_SAVINGS,69,176671.2,124110.35,86832.52,11.59,29.75,28.56,1.19,1258.44,-0.44,N
PRV0014,Synthetic Provider Organization 014,General Surgery,SOUTH,CTR009,FFS,79,164093.4,111115.27,70852.6,12.66,32.29,32.29,-0.0,896.87,-1.08,N
PRV0015,Synthetic Provider Organization 015,Cardiology,WEST,CTR023,VALUE_BASED,71,86454.14,72300.66,59853.67,15.49,16.37,16.82,-0.45,843.01,-1.18,N
PRV0016,Synthetic Provider Organization 016,Cardiology,EAST,CTR022,FFS,73,157189.26,114181.95,81151.8,16.44,27.36,26.99,0.37,1111.67,-0.7,N
PRV0017,Synthetic Provider Organization 017,General Surgery,NORTH,CTR015,SHARED_SAVINGS,80,155928.89,120065.79,96394.31,12.5,23.0,23.78,-0.78,1204.93,-0.53,N
PRV0018,Synthetic Provider Organization 018,Primary Care,EAST,CTR020,SHARED_SAVINGS,75,172315.84,138057.52,113482.7,16.0,19.88,19.93,-0.05,1513.1,0.02,N
PRV0019,Synthetic Provider Organization 019,General Surgery,WEST,CTR015,SHARED_SAVINGS,53,199938.36,151789.38,104349.75,9.43,24.08,23.78,0.3,1968.86,0.83,N
PRV0020,Synthetic Provider Organization 020,Cardiology,NORTH,CTR017,VALUE_BASED,83,177853.28,138840.42,113674.79,13.25,21.94,23.12,-1.18,1369.58,-0.24,N
PRV0021,Synthetic Provider Organization 021,Primary Care,SOUTH,CTR023,VALUE_BASED,76,127512.06,106425.31,52182.4,13.16,16.54,16.82,-0.28,686.61,-1.46,N
PRV0022,Synthetic Provider Organization 022,Emergency Medicine,SOUTH,CTR023,VALUE_BASED,73,163496.66,138867.06,102349.01,5.48,15.06,16.82,-1.76,1402.04,-0.18,N
PRV0023,Synthetic Provider Organization 023,Primary Care,NORTH,CTR022,FFS,79,249866.17,183021.53,151977.27,10.13,26.75,26.99,-0.24,1923.76,0.75,N
PRV0024,Synthetic Provider Organization 024,Dermatology,EAST,CTR008,SHARED_SAVINGS,73,179815.35,130773.95,98390.47,15.07,27.27,27.26,0.01,1347.81,-0.28,N
PRV0025,Synthetic Provider Organization 025,Primary Care,EAST,CTR020,SHARED_SAVINGS,82,215286.69,171341.18,114559.64,9.76,20.41,19.93,0.48,1397.07,-0.19,N
PRV0026,Synthetic Provider Organization 026,Dermatology,EAST,CTR010,VALUE_BASED,76,285454.26,192144.23,72989.55,17.11,32.69,31.99,0.7,960.39,-0.97,N
PRV0027,Synthetic Provider Organization 027,Orthopedics,WEST,CTR023,VALUE_BASED,82,178544.12,149070.23,123464.52,13.41,16.51,16.82,-0.31,1505.66,0.0,N
PRV0028,Synthetic Provider Organization 028,Behavioral Health,SOUTH,CTR023,VALUE_BASED,74,214844.51,179238.56,144687.31,14.86,16.57,16.82,-0.25,1955.23,0.8,N
PRV0029,Synthetic Provider Organization 029,Dermatology,WEST,CTR003,VALUE_BASED,76,180044.69,154299.89,119068.95,18.42,14.3,15.78,-1.48,1566.7,0.11,N
